# teltonika.lt,3.69.112.66
# teltonika.lt,35.157.156.54

api.segment.io,34.208.116.103
api.segment.io,35.163.39.42
api.segment.io,35.166.10.37
api.segment.io,44.228.97.117
api.segment.io,44.231.35.67
api.segment.io,44.232.164.14
api.segment.io,44.236.186.200
api.segment.io,44.246.57.203
api.segment.io,52.13.54.113
api.segment.io,52.26.210.209
api.segment.io,52.27.39.229
api.segment.io,52.32.86.246
api.segment.io,52.32.165.214
api.segment.io,54.185.248.173
api.segment.io,54.214.144.241
api.segment.io,100.21.127.115
api.sia.samsungdm.com,54.229.132.185
api.sicharge.technology,13.33.153.14
api.sicharge.technology,13.33.153.49
api.sicharge.technology,13.33.153.60
api.sicharge.technology,13.33.153.107
api.sicharge.technology,13.227.231.125
api.sicharge.technology,18.239.50.66
api.sicharge.technology,54.192.35.116
api.sicharge.technology,108.156.39.23
api.sicharge.technology,108.156.39.41
api.sicharge.technology,108.156.39.90
api.sicharge.technology,108.156.39.126
api.smartthings.com,34.250.181.191
api.smsbump.com,98.95.255.204
api.snapcraft.io,185.125.188.54
api.snapcraft.io,185.125.188.57
api.snapcraft.io,185.125.188.58
api.snapcraft.io,185.125.188.59
api.statsigcdn.com,172.66.149.238
api.steampowered.com,23.197.130.99
api.steampowered.com,23.214.143.222
api.store.ccv.eu,3.169.85.94
api.store.ccv.eu,13.224.95.11
api.store.ccv.eu,13.224.95.22
api.store.ccv.eu,13.224.95.98
api.store.ccv.eu,13.224.95.129
api.store.ccv.eu,18.96.42.64
api.store.ccv.eu,18.96.42.65
api.store.ccv.eu,18.96.42.67
api.store.ccv.eu,18.96.42.68
api.store.ccv.eu,18.96.42.69
api.store.ccv.eu,18.96.42.70
api.store.ccv.eu,18.96.42.71
api.store.ccv.eu,18.197.191.22
api.store.ccv.eu,18.238.243.37
api.store.ccv.eu,18.238.243.95
api.store.ccv.eu,18.238.243.102
api.store.ccv.eu,18.238.243.105
api.store.ccv.eu,18.239.36.33
api.store.ccv.eu,18.239.36.34
api.store.ccv.eu,18.239.36.112
api.store.ccv.eu,18.239.36.120
api.store.ccv.eu,18.244.87.12
api.store.ccv.eu,18.244.102.14
api.store.ccv.eu,18.244.102.52
api.store.ccv.eu,18.244.102.55
api.store.ccv.eu,18.244.102.99
api.store.ccv.eu,52.222.177.28
api.store.ccv.eu,52.222.177.44
